Date,MXBR,MXCA,MXCH,MXFR,MXGB,MXIN,MXJP,MXZA,TAMSCI,MXEG,BBDXY
2007-04-20,3094.5754,1735.5576,1155.6684,250.2664,4919.4684,15.3949,9.8627,136.9225,11.0913,329.6805,1009.68
2007-04-27,3054.1271,1739.5213,1162.7139,250.3269,4855.1452,15.6998,9.7111,136.3032,11.0955,334.1703,1010.3
2007-05-04,3147.4874,1775.5178,1165.8853,255.8242,4991.5009,15.9426,9.6968,138.1214,11.3878,335.2612,1012.38
2007-05-11,3181.6969,1798.9059,1156.1398,253.8092,4936.4489,15.6676,9.8094,135.9532,11.2899,341.6156,1014.09
2007-05-18,3337.6014,1854.6621,1150.0097,257.0303,4984.9019,16.413,9.6138,134.0689,11.264,334.27,1016.3
2007-05-25,3318.0702,1858.289,1144.5712,255.9434,4952.5997,16.5819,9.6743,132.8649,11.4769,342.2833,1017.27
2007-06-01,3508.4056,1901.2893,1160.8562,260.8511,5023.9461,16.8715,9.9425,132.3877,11.6373,352.8232,1015.53
2007-06-08,3322.7593,1857.0322,1107.9911,247.9467,4855.6552,16.0085,9.8964,123.9859,11.7364,348.7557,1019
2007-06-15,3579.6193,1899.0445,1132.4102,257.6264,5056.557,16.3309,9.8414,130.8117,12.0972,350.3827,1021.11
2007-06-22,3525.0856,1874.1585,1117.3574,255.0651,4981.7288,16.7178,9.8497,129.9795,12.6656,357.2098,1017.51
2007-06-29,3525.0277,1880.9867,1129.3022,258.0595,5038.213,16.9282,9.8825,128.357,12.6261,352.1633,1012.89
2007-07-06,3713.9032,1927.0338,1141.0527,262.1176,5115.0779,17.3469,9.9108,131.907,13.0628,368.5476,1008.99
2007-07-13,3898.9753,1987.0995,1155.7529,265.9916,5190.7998,17.7689,10.0444,135.6571,13.4639,375.9306,999.49
2007-07-20,3912.4362,1999.8978,1138.0135,259.6049,5143.8726,18.1208,10.089,137.6565,13.5548,380.3598,995.74
2007-07-27,3507.0617,1864.5623,1079.9075,242.8065,4785.9444,17.5532,9.8441,125.4471,12.8089,381.3619,1000.75
2007-08-03,3557.9214,1852.1935,1091.7677,243.5941,4840.7034,17.4735,9.7121,123.8626,12.7984,367.5571,994.18
2007-08-10,3389.8874,1843.1835,1071.821,235.5176,4662.8571,17.0648,9.5133,120.4838,12.5424,369.9587,998.89
2007-08-17,3021.0026,1779.6261,1060.2751,228.0446,4589.1527,15.9625,8.8883,111.4058,11.5051,352.8154,1003.38
2007-08-24,3390.9135,1861.301,1093.7487,240.3482,4788.3624,16.2506,9.4008,120.2812,12.3019,340.5072,997.91
2007-08-31,3543.449,1878.3644,1102.3159,243.8698,4868.1259,17.3967,9.5539,127.8513,12.7186,346.6951,998.76
2007-09-07,3584.6325,1874.5839,1094.5667,236.3583,4812.9685,17.8387,9.4544,125.2398,12.75,365.7279,989.47
